
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2026年04月01日","2026年05月01日","67","1","67"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/04/01","レダックス","7602","東証",株式現物買,"--"," 特定 ","--",300,205,--,--,"2026/04/03",61500
"2026/04/01","スリー・ディー・マトリックス","7777","東証（外）",株式現物買,"--"," 特定 ","--",200,452.8,--,--,"2026/04/03",90560
"2026/04/01","ｉｓｐａｃｅ","9348","東証",株式現物買,"--"," 特定 ","--",200,435,--,--,"2026/04/03",87000
"2026/04/02","クリングルファーマ","4884","東証",株式現物買,"--"," 特定 ","--",200,555,--,--,"2026/04/06",111000
"2026/04/03","インフォメティス","281A","東証",株式現物売,"--"," 特定 ","申告",200,517,--,--,"2026/04/07",103400
"2026/04/06","ベクターホールディングス","2656","東証",株式現物買,"--"," 特定 ","--",200,210,--,--,"2026/04/08",42000
"2026/04/06","ＡＳＡＨＩ　ＥＩＴＯホールディングス","5341","東証",株式現物買,"--"," NISA(成) ","--",400,279,--,--,"2026/04/08",111600
"2026/04/08","Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅ","4265","PTS（O）",株式現物買,"--"," 特定 ","--",100,477.9,--,--,"2026/04/10",47790
"2026/04/08","Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅ","4265","東証（外）",株式現物買,"--"," 特定 ","--",100,477.9,--,--,"2026/04/10",47790
"2026/04/10","クリングルファーマ","4884","東証",株式現物買,"--"," 特定 ","--",200,460,--,--,"2026/04/14",92000
"2026/04/13","ＰＲＩＳＭ　ＢｉｏＬａｂ","206A","東証",株式現物買,"--"," 特定 ","--",300,189,--,--,"2026/04/15",56700
"2026/04/13","ＫＬａｂ","3656","東証",株式現物買,"--"," 特定 ","--",300,303,--,--,"2026/04/15",90900
"2026/04/13","トラース・オン・プロダクト","6696","東証",株式現物買,"--"," 特定 ","--",200,413,--,--,"2026/04/15",82600
"2026/04/13","ＡＫＩＢＡホールディングス","6840","東証",株式現物買,"--"," 特定 ","--",200,555,--,--,"2026/04/15",111000
"2026/04/14","Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅ","4265","東証",株式現物買,"--"," 特定 ","--",200,318,--,--,"2026/04/16",63600
"2026/04/15","ジェリービーンズグループ","3070","東証",株式現物買,"--"," NISA(成) ","--",500,108,--,--,"2026/04/17",54000
"2026/04/16","インフォメティス","281A","東証",株式現物買,"--"," 特定 ","--",300,735,--,--,"2026/04/20",220500
"2026/04/17","コアコンセプト・テクノロジー","4371","東証",株式現物買,"--"," 特定 ","--",100,1202,--,--,"2026/04/21",120200
"2026/04/17","東京衡機","7719","PTS（X）",株式現物買,"--"," 特定 ","--",100,746.5,--,--,"2026/04/21",74650
"2026/04/17","東京衡機","7719","東証（外）",株式現物買,"--"," 特定 ","--",100,746.5,--,--,"2026/04/21",74650
"2026/04/20","東京衡機","7719","東証",株式現物買,"--"," 特定 ","--",200,705,--,--,"2026/04/22",141000
"2026/04/21","Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅ","4265","東証",株式現物売,"--"," 特定 ","申告",400,318,--,--,"2026/04/23",127200
"2026/04/21","ＱＤレーザ","6613","東証",株式現物買,"--"," 特定 ","--",100,1600,--,--,"2026/04/23",160000
"2026/04/22","インフォメティス","281A","東証",株式現物売,"--"," NISA(成) ","非課税",100,805,--,--,"2026/04/24",80500
"2026/04/22","インフォメティス","281A","東証",株式現物売,"--"," 特定 ","申告",300,810,--,--,"2026/04/24",243000
"2026/04/22","ＫＬａｂ","3656","東証（外）",株式現物売,"--"," 特定 ","申告",300,365.6,--,--,"2026/04/24",109680
"2026/04/22","コアコンセプト・テクノロジー","4371","東証",株式現物売,"--"," 特定 ","申告",100,1392,--,--,"2026/04/24",139200
"2026/04/22","ＡＳＡＨＩ　ＥＩＴＯホールディングス","5341","東証",株式現物売,"--"," 特定 ","申告",100,447,--,--,"2026/04/24",44700
"2026/04/22","ＡＳＡＨＩ　ＥＩＴＯホールディングス","5341","東証",株式現物売,"--"," NISA(成) ","非課税",400,399,--,--,"2026/04/24",159600
"2026/04/22","ｉｓｐａｃｅ","9348","東証",株式現物売,"--"," 特定 ","申告",200,490,--,--,"2026/04/24",98000
"2026/04/22","トランスジェニックグループ","2342","東証",株式現物買,"--"," 特定 ","--",300,325,--,--,"2026/04/24",97500
"2026/04/22","トランスジェニックグループ","2342","東証",株式現物買,"--"," 特定 ","--",200,316,--,--,"2026/04/24",63200
"2026/04/22","Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ","2437","東証",株式現物買,"--"," 特定 ","--",200,465,--,--,"2026/04/24",93000
"2026/04/22","ＡＳＡＨＩ　ＥＩＴＯホールディングス","5341","東証",株式現物買,"--"," 特定 ","--",100,456,--,--,"2026/04/24",45600
"2026/04/23","ユニチカ","3103","東証",株式現物売,"--"," 特定 ","申告",100,2840,--,--,"2026/04/27",284000
"2026/04/23","ＱＤレーザ","6613","東証",株式現物売,"--"," 特定 ","申告",100,1605,--,--,"2026/04/27",160500
"2026/04/23","ユニチカ","3103","東証",株式現物買,"--"," 特定 ","--",100,2700,--,--,"2026/04/27",270000
"2026/04/23","ＫＬａｂ","3656","東証",株式現物買,"--"," 特定 ","--",300,305,--,--,"2026/04/27",91500
"2026/04/23","ソフトテックス","550A","東証",株式現物買,"--"," 特定 ","--",100,3150,--,--,"2026/04/27",315000
"2026/04/24","ＡＫＩＢＡホールディングス","6840","東証",株式現物売,"--"," 特定 ","申告",200,566,--,--,"2026/04/28",113200
"2026/04/24","東京衡機","7719","東証",株式現物売,"--"," 特定 ","申告",400,796,--,--,"2026/04/28",318400
"2026/04/24","ユニチカ","3103","東証",株式現物買,"--"," 特定 ","--",100,2705,--,--,"2026/04/28",270500
"2026/04/24","菊池製作所","3444","東証",株式現物買,"--"," 特定 ","--",100,1640,--,--,"2026/04/28",164000
"2026/04/24","ＱＤレーザ","6613","東証",株式現物買,"--"," 特定 ","--",100,1513,--,--,"2026/04/28",151300
"2026/04/27","菊池製作所","3444","東証（外）",株式現物売,"--"," 特定 ","申告",100,1734.2,--,--,"2026/04/30",173420
"2026/04/27","ＱＤレーザ","6613","東証",株式現物売,"--"," 特定 ","申告",100,1515,--,--,"2026/04/30",151500
"2026/04/27","スリー・ディー・マトリックス","7777","東証",株式現物売,"--"," 特定 ","申告",100,503,--,--,"2026/04/30",50300
"2026/04/27","スリー・ディー・マトリックス","7777","東証",株式現物売,"--"," 特定 ","申告",100,503,--,--,"2026/04/30",50300
"2026/04/27","インフォメティス","281A","東証",株式現物買,"--"," 特定 ","--",100,783,--,--,"2026/04/30",78300
"2026/04/27","シリウスビジョン","6276","PTS（X）",株式現物買,"--"," 特定 ","--",100,356.9,--,--,"2026/04/30",35690
"2026/04/27","シリウスビジョン","6276","PTS（X）",株式現物買,"--"," 特定 ","--",100,356.8,--,--,"2026/04/30",35680
"2026/04/28","ユニチカ","3103","東証（外）",株式現物売,"--"," 特定 ","申告",100,2647.7,--,--,"2026/05/01",264770
"2026/04/28","津田駒工業","6217","東証",株式現物売,"--"," 特定 ","申告",100,1780,--,--,"2026/05/01",178000
